
2024/05/19 (00:10:33) | ===> btop++ v.1.3.2
2024/05/19 (00:10:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/19 (00:10:33) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/05/19 (00:10:33) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/05/19 (00:10:33) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/05/19 (00:10:33) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/05/19 (00:10:33) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/05/19 (00:10:33) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/05/19 (00:10:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/05/19 (00:10:35) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/05/19 (00:10:40) | ===> btop++ v.1.3.2
2024/05/19 (00:10:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/19 (00:10:40) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/05/19 (00:10:40) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/05/19 (00:10:40) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/05/19 (00:10:40) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/05/19 (00:10:40) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/05/19 (00:10:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/05/19 (00:10:40) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/05/19 (00:10:42) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/05/19 (00:10:45) | ===> btop++ v.1.3.2
2024/05/19 (00:10:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/19 (00:10:45) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/05/19 (00:10:45) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/05/19 (00:10:45) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/05/19 (00:10:45) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/05/19 (00:10:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/05/19 (00:10:45) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/05/19 (00:10:45) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/05/19 (00:10:48) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/05/19 (00:10:52) | ===> btop++ v.1.3.2
2024/05/19 (00:10:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/19 (00:10:52) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/05/19 (00:10:52) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/05/19 (00:10:52) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/05/19 (00:10:52) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/05/19 (00:10:52) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/05/19 (00:10:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/05/19 (00:10:52) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/05/19 (00:12:20) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/05/19 (00:12:24) | ===> btop++ v.1.3.2
2024/05/19 (00:12:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/19 (00:12:24) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/05/19 (00:12:24) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/05/19 (00:12:24) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/05/19 (00:12:24) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/05/19 (00:12:24) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/05/19 (00:12:24) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/05/19 (00:12:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/05/19 (00:17:07) | INFO: Logger set to INFO
2024/05/19 (00:17:37) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : vector::_M_range_check: __n (which is 0) >= this->size() (which is 0)

2024/05/19 (00:17:40) | ===> btop++ v.1.3.2
2024/05/19 (00:17:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/19 (00:17:40) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/05/19 (00:17:40) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/05/19 (00:17:40) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/05/19 (00:17:40) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/05/19 (00:17:40) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
